"","Cores","Lat..oN.","Long..oE.","WD..m.","Recovery","Max.age..based.on.MS.","X","MRA"
"1","PS97/139",-52.4426666666667,-52.4426666666667,640,4.54,"30?","",1062.61129512608
"2","PS97/138",-52.6163333333333,-52.6163333333333,839.8,2.71,"20","",1178.18116343625
"3","PS97/137",-52.6595,-52.6595,1027.6,8.5,"25","",1310.3417337572
"4","PS97/024",-54.588,-54.588,1278,1.6,"-","",1384.75225857543
"5","PS97/023",-54.681,-54.681,1597.8,1.83,"-","",1472.76960289826
"6","PS97/026",-54.6806666666667,-54.6806666666667,1604.3,6.08,"30","",1472.76960289826
"7","PS97/022",-54.7005,-54.7005,1615.9,2.67,"-","",1472.76960289826
"8","PS97/025",-54.7005,-54.7005,1620.4,5.43,"25","",1472.76960289826
"9","PS97/129",-53.3215,-53.3215,1870.2,7.32,"25","",1522.97043374368
"10","PS97/128",-53.6343333333333,-53.6343333333333,2313.4,10.69,"20","",1526.66992156275
"11","PS97/027",-54.3848333333333,-54.3848333333333,2341.8,2.01,"<20","",1563.33165276477
"12","PS97/111",-54.3846666666667,-54.3846666666667,2364,9.93,"18","missing Holocene?",1563.33165276477
"13","PS97/122",-54.0968333333333,-54.0968333333333,2557.9,10.77,"?","",1555.60504629387
"14","PS97/112",-54.579,-54.579,3866.9,14.58,"-","",NA
"15","PS97/114",-54.5788333333333,-54.5788333333333,3869.3,22.37,"-","",NA
